num_hidden_layers,units_1,units_2,units_3,units_4,dropout_rate,activation_function,batch_size,early_stopping_patience,reduce_lr_factor,reduce_lr_patience,reduce_lr_min_lr,optimizer,best_val_accuracy,val_accuracy_std,best_val_loss,val_loss_std,best_train_accuracy,train_accuracy_std,best_train_loss,train_loss_std,delta_acc
2,128,256,512,1024,0.2,relu,64,15,0.1,5,1e-07,adam,0.66489311059316,0.013605283678306667,0.919707198937734,0.007329080609748635,0.7347228328386942,0.004310206985806261,0.7080062429110209,0.016333948236314406,0.10502398225067809
2,128,256,512,1024,0.2,relu,64,15,0.1,5,1e-07,nadam,0.6588291525840759,0.008308357262358025,0.9248219927151998,0.009612116415141462,0.6966548363367716,0.027048396057436478,0.7951723337173462,0.06062490415776602,0.0574134942334213
2,128,256,512,1024,0.2,relu,64,20,0.1,5,1e-07,adam,0.6605249047279358,0.0040770101825620365,0.9183093508084615,0.00521024032959019,0.7263616522153219,0.022239711756828776,0.7238698601722717,0.04401944549190374,0.0996733764558108
2,128,256,512,1024,0.2,relu,64,20,0.1,5,1e-07,nadam,0.6576165358225504,0.008000053877478,0.9285459915796915,0.010506680555795596,0.7244217991828918,0.027497947902146453,0.7276362578074137,0.06467158499347699,0.10158695793252984
2,128,256,512,1024,0.2,relu,128,15,0.1,5,1e-07,adam,0.660283366839091,0.006314090183626073,0.9218331774075826,0.006158536558547248,0.7165398200352987,0.01876411409361337,0.7562864621480306,0.03483331081690364,0.08520047001262306
2,128,256,512,1024,0.2,relu,128,15,0.1,5,1e-07,nadam,0.6614981293678284,0.013570429262487842,0.9198976159095764,0.008843727509413158,0.699320395787557,0.006099261650786761,0.7934379577636719,0.02586740611141265,0.05717667932919797
2,128,256,512,1024,0.2,relu,128,20,0.1,5,1e-07,adam,0.6581029494603475,0.011720192144540804,0.9208799997965494,0.010005640935643791,0.7164168556531271,0.00500837358022386,0.7436407407124838,0.008031946261256142,0.08860909412516334
2,128,256,512,1024,0.2,relu,128,20,0.1,5,1e-07,nadam,0.661981205145518,0.007430208413480545,0.9175378878911337,0.010423713359349386,0.7045355836550394,0.009232493708064362,0.7707700729370117,0.012262690772206309,0.06428336360420853
2,128,256,512,1024,0.2,relu,256,15,0.1,5,1e-07,adam,0.6590715845425924,0.007949244626797887,0.9178550243377686,0.011498174702967967,0.7149635553359985,0.016314607501633285,0.762225886185964,0.03549733909739873,0.08480409731546258
2,128,256,512,1024,0.2,relu,256,15,0.1,5,1e-07,nadam,0.6639207800229391,0.006738885965856374,0.9191696047782898,0.013485843588443153,0.724419891834259,0.011200489078104031,0.7288859287897745,0.01575432947394529,0.09112399194558973
