units_1,units_2,units_3,units_4,dropout_rate,activation_function,best_val_accuracy,val_accuracy_std,best_val_loss,val_loss_std,best_train_accuracy,train_accuracy_std,best_train_loss,train_loss_std,delta_acc
64,128,256,512,0.3,LeakyReLU,0.8104965488115946,0.01681795085105591,0.546536366144816,0.02887076944853372,0.8277321855227152,0.0036723974456768205,0.5077590545018514,0.014342374900042639,0.021265527578609278
64,256,256,512,0.3,LeakyReLU,0.8256257772445679,0.008346164234089048,0.514202356338501,0.015966404585640054,0.8237395683924357,0.0056647032235965155,0.4886356194814046,0.005604615130231518,-0.002284580864743838
128,128,256,512,0.3,LeakyReLU,0.8277264436086019,0.008841598689697958,0.5078822175661722,0.011342255006238177,0.8321424921353658,0.0016102192541719625,0.4751274287700653,0.01098718671365358,0.005335154580191333
128,256,256,512,0.3,LeakyReLU,0.8205858866373698,0.004000560981900054,0.5182797213395437,0.031014551082916664,0.8291969100634257,0.01661558277903695,0.4833720127741496,0.041319933087801075,0.010493750338971233
256,128,256,512,0.3,LeakyReLU,0.830670436223348,0.005137065180571829,0.49657222628593445,0.00722471881900214,0.8313011527061462,0.007529075301526892,0.46339596311251324,0.013346531901104356,0.0007592860601441176
256,256,256,512,0.3,LeakyReLU,0.8281510273615519,0.0036257453171995523,0.5081713298956553,0.027899573586932954,0.8342418273289999,0.006617871752758121,0.4630891978740692,0.006115886593178132,0.007354697109841157
