mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout_rate,param_units_1,param_units_2,param_units_3,param_units_4,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17.81278028488159,2.3908320137396966,2.535536050796509,0.47250438857115,0.3,256,128,1024,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 1024, 'units_4': 512}",0.825630247592926,0.825630247592926,0.8004201650619507,0.819327712059021,0.8172268867492676,0.8176470518112182,0.00924369638616579,1
28.71836452484131,2.309474176847176,2.3390145301818848,0.5293243817555359,0.3,128,512,1024,2048,"{'dropout_rate': 0.3, 'units_1': 128, 'units_2': 512, 'units_3': 1024, 'units_4': 2048}",0.8067227005958557,0.8277310729026794,0.8067227005958557,0.8046218752861023,0.8277310729026794,0.8147058844566345,0.01066265218574948,2
19.664844369888307,0.7620179955288305,1.8436717510223388,0.46159409060517603,0.3,256,128,1024,1024,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 1024, 'units_4': 1024}",0.8151260614395142,0.8088235259056091,0.8235294222831726,0.8109243512153625,0.8151260614395142,0.8147058844566345,0.005042024453488868,2
16.747439527511595,3.250861781775505,1.9809684753417969,0.39488139352716384,0.3,256,128,512,1024,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 512, 'units_4': 1024}",0.8109243512153625,0.8130252361297607,0.8277310729026794,0.8067227005958557,0.8088235259056091,0.8134453773498536,0.007445388940210502,4
14.296193313598632,2.380568365441957,1.7788138389587402,0.29342413982604715,0.3,128,512,256,2048,"{'dropout_rate': 0.3, 'units_1': 128, 'units_2': 512, 'units_3': 256, 'units_4': 2048}",0.8214285969734192,0.8067227005958557,0.8214285969734192,0.8109243512153625,0.8046218752861023,0.8130252242088318,0.007155209179124912,5
17.518884420394897,1.266984707696331,2.1846566677093504,0.5707474742027917,0.3,256,256,512,2048,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 512, 'units_4': 2048}",0.8130252361297607,0.8046218752861023,0.8361344337463379,0.8046218752861023,0.8004201650619507,0.8117647171020508,0.012854658587048718,6
20.274953889846802,1.7398854136013973,2.800926399230957,0.7020227082885435,0.3,256,512,1024,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 1024, 'units_4': 512}",0.8403361439704895,0.8130252361297607,0.819327712059021,0.7857142686843872,0.7962185144424438,0.8109243750572205,0.018930893483247377,7
10.725180101394653,1.5281095094293289,1.8738239288330079,0.16685871208920408,0.3,256,128,256,1024,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 256, 'units_4': 1024}",0.7836134433746338,0.819327712059021,0.8235294222831726,0.8109243512153625,0.8130252361297607,0.8100840330123902,0.013973353364102447,8
18.55839295387268,2.448157281756674,1.8290422916412354,0.2729135199793495,0.3,128,256,1024,512,"{'dropout_rate': 0.3, 'units_1': 128, 'units_2': 256, 'units_3': 1024, 'units_4': 512}",0.8004201650619507,0.7941176295280457,0.825630247592926,0.8130252361297607,0.8109243512153625,0.8088235259056091,0.01087578586954649,9
31.34845814704895,1.580253395745004,2.705354595184326,0.6408677375245311,0.3,256,512,1024,2048,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 1024, 'units_4': 2048}",0.819327712059021,0.8235294222831726,0.8046218752861023,0.7920168042182922,0.8025209903717041,0.8084033608436585,0.01153742031457821,10
