Unnamed: 0,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream,Genre,Artist_encoded,Album_type_encoded,Licensed_encoded,official_video_encoded
5105.0,0.553,0.398,3.0,-11.67,0.0303,0.664,0.0,0.114,0.392,76.074,229227.0,58912.0,752.0,95.0,44571317.0,rock,1747,1,0,0
5106.0,0.49,0.432,3.0,-9.327,0.0298,0.639,0.0,0.104,0.367,153.753,225573.0,102064.0,1466.0,54.0,23706997.0,rock,1747,0,0,0
5107.0,0.615,0.921,9.0,-4.676,0.041,0.0731,0.000179,0.443,0.744,126.947,274520.0,6093554.0,45825.0,2390.0,29546399.0,rock,1747,0,1,1
5108.0,0.638,0.783,11.0,-9.455,0.0435,0.00736,0.0447,0.0381,0.637,115.269,297093.0,15329394.0,123983.0,6992.0,24023935.0,rock,1747,1,1,1
5109.0,0.326,0.281,4.0,-11.207,0.0327,0.189,0.000298,0.196,0.196,125.471,353533.0,208173.0,3804.0,38.0,15602235.0,rock,1747,0,1,1
5110.0,0.643,0.712,5.0,-6.385,0.0266,0.0576,0.00467,0.287,0.636,103.07,250027.0,9626680.0,74523.0,3715.0,10980364.0,rock,1747,0,1,1
5111.0,0.41,0.567,7.0,-8.926,0.0511,0.311,0.00626,0.113,0.565,190.019,162493.0,183326.0,3240.0,214.0,1960399.0,rock,1747,0,1,1
5112.0,0.582,0.767,4.0,-11.38,0.0297,0.288,0.0789,0.0606,0.736,141.683,186038.0,572527.0,7737.0,566.0,41881336.0,rock,1819,0,0,0
5113.0,0.531,0.849,9.0,-10.754,0.111,0.0389,0.00763,0.186,0.305,119.516,136427.0,4846966.0,46499.0,1534.0,28043008.0,alternative rock,1819,0,0,0
5114.0,0.412,0.601,2.0,-10.493,0.0536,0.000866,0.0466,0.321,0.49,114.537,183867.0,719082.0,12917.0,55.0,15148212.0,alternative rock,1819,0,1,1
5115.0,0.577,0.916,4.0,-7.305,0.101,0.445,0.0,0.156,0.545,94.731,163133.0,2361119.0,19883.0,1172.0,9936281.0,alternative rock,1819,0,0,0
5116.0,0.538,0.745,9.0,-12.194,0.044,0.0289,0.807,0.112,0.731,102.43,160507.0,12879.0,211.0,5.0,7723540.0,alternative rock,1819,0,0,0
5117.0,0.595,0.842,11.0,-10.084,0.0312,8.79e-05,0.784,0.354,0.645,130.597,144867.0,108375.0,1695.0,14.0,1698461.0,alternative rock,1819,0,1,1
5118.0,0.528,0.755,11.0,-9.392,0.0341,0.228,0.429,0.23,0.911,123.148,129360.0,124314.0,965.0,48.0,2131433.0,rock,1819,0,0,0
5119.0,0.582,0.86,9.0,-10.048,0.038,0.00142,0.775,0.0925,0.45,133.878,188733.0,362958.0,2830.0,139.0,3415237.0,alternative rock,1819,0,0,0
5120.0,0.508,0.945,9.0,-6.639,0.081,0.0968,5.99e-05,0.127,0.513,110.833,197773.0,2086338.0,11583.0,533.0,3659613.0,rock,1819,0,0,0
5121.0,0.659,0.55,4.0,-10.91,0.0465,0.0395,0.0343,0.165,0.513,113.42,168800.0,81921.0,735.0,33.0,1514154.0,rock,1819,0,0,0
5132.0,0.439,0.422,8.0,-17.227,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,236933.0,203386726.0,1382089.0,38269.0,405682335.0,rock,395,0,1,1
5133.0,0.643,0.614,2.0,-12.878,0.0279,0.25,7.17e-06,0.214,0.891,93.982,224467.0,11179637.0,61332.0,2488.0,158618084.0,alternative rock,395,0,1,1
5134.0,0.437,0.373,0.0,-14.846,0.028,0.261,1.2e-06,0.0984,0.355,93.519,187667.0,6576420.0,38547.0,1594.0,69216589.0,alternative rock,395,0,1,1
5135.0,0.65,0.371,0.0,-13.623,0.026,0.457,0.0116,0.102,0.561,102.583,198800.0,2386597.0,18414.0,838.0,55690619.0,alternative rock,395,0,0,0
5136.0,0.409,0.718,3.0,-7.967,0.0272,0.00826,0.00014,0.122,0.647,111.462,229738.0,919844.0,6196.0,515.0,23801443.0,rock,395,0,0,0
5137.0,0.517,0.261,7.0,-17.196,0.0263,0.816,0.000163,0.0863,0.492,89.221,170160.0,591355.0,5743.0,491.0,20845223.0,alternative rock,395,0,0,0
5138.0,0.578,0.673,7.0,-13.156,0.0446,0.0968,8.33e-05,0.0927,0.721,119.786,171573.0,5100970.0,27968.0,1723.0,29738108.0,rock,395,0,1,1
5139.0,0.747,0.528,10.0,-11.915,0.0283,0.167,0.0,0.132,0.85,116.259,212373.0,423138.0,3552.0,264.0,24393365.0,alternative rock,395,0,0,0
5140.0,0.485,0.76,9.0,-14.838,0.0412,0.0715,0.000173,0.221,0.602,119.02,196027.0,205170.0,1644.0,147.0,14676981.0,rock,395,0,0,0
5141.0,0.446,0.37,4.0,-15.877,0.027,0.478,0.000205,0.0823,0.256,84.186,273800.0,1386964.0,6305.0,361.0,10491394.0,alternative rock,395,0,1,1
5172.0,0.488,0.902,4.0,-5.117,0.0511,0.0158,5.38e-05,0.19,0.196,160.103,164000.0,372697.0,13356.0,944.0,1264130.0,electronic,1642,2,1,1
5173.0,0.519,0.938,6.0,-6.244,0.0377,0.00103,0.103,0.472,0.501,144.006,234055.0,67303.0,1347.0,2.0,113619674.0,electronic,1642,0,1,1
