Unnamed: 0,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream,Genre
3779,0.556,0.993,1.0,-5.067,0.0464,0.0105,0.0341,0.403,0.702,124.016,173667.0,35017894.0,149463.0,7858.0,103568835.0,pop
3780,0.727,0.83,6.0,-6.658,0.0376,0.0226,0.00356,0.73,0.899,118.002,240707.0,28084736.0,97591.0,4997.0,62710598.0,pop
3781,0.473,0.698,6.0,-8.133,0.0349,0.0648,0.231,0.136,0.21,168.817,310667.0,63342834.0,327482.0,21623.0,53304247.0,pop
3782,0.74,0.857,9.0,-6.134,0.0414,0.104,0.0,0.109,0.898,115.954,257933.0,57862.0,0.0,47.0,6026921.0,pop
3783,0.615,0.734,8.0,-9.328,0.0321,0.345,0.543,0.0963,0.811,95.848,304960.0,24013914.0,106336.0,5930.0,29672483.0,pop
3784,0.333,0.631,2.0,-4.992,0.0461,0.484,0.0,0.332,0.342,80.14,271933.0,23301049.0,101320.0,6155.0,27036790.0,pop
3785,0.529,0.127,11.0,-16.066,0.0274,0.611,0.000109,0.237,0.578,63.05,203573.0,51099127.0,167349.0,6201.0,555209503.0,pop
3786,0.562,0.503,1.0,-14.836,0.0335,0.319,0.0,0.163,0.846,127.827,179933.0,15236946.0,73809.0,3698.0,80168209.0,pop
3787,0.706,0.39,9.0,-13.673,0.0324,0.0221,3.81e-05,0.0944,0.839,90.584,217533.0,19058417.0,58162.0,3868.0,76908607.0,pop
3788,0.246,0.375,10.0,-14.409,0.0272,0.141,4.97e-06,0.109,0.511,90.53,213200.0,151026.0,2604.0,137.0,62566222.0,pop
3789,0.515,0.641,5.0,-5.573,0.0272,0.567,0.0642,0.322,0.655,109.558,180253.0,8044384.0,51239.0,2553.0,43661041.0,pop
3790,0.419,0.23,10.0,-17.102,0.0359,0.628,5.85e-06,0.222,0.199,128.892,232000.0,5833883.0,31035.0,1345.0,37038938.0,rock
3791,0.56,0.827,8.0,-4.157,0.0306,0.0271,0.00285,0.0551,0.904,84.383,163907.0,2602802.0,10938.0,809.0,20696451.0,pop
3792,0.594,0.529,0.0,-9.338,0.0287,0.276,3.92e-05,0.148,0.511,109.703,185653.0,9124710.0,43254.0,2600.0,9727493.0,pop
3793,0.16,0.123,0.0,-18.111,0.04,0.878,2.24e-05,0.157,0.239,67.006,195400.0,806212.0,4914.0,339.0,27582760.0,pop
3794,0.525,0.346,7.0,-15.218,0.0287,0.119,0.0,0.152,0.729,127.078,193333.0,3928298.0,14604.0,950.0,25680695.0,pop
3801,0.706,0.861,11.0,-6.684,0.154,0.0341,0.0,0.127,0.923,119.946,238427.0,61452273.0,200509.0,13891.0,46136084.0,R&B
3804,0.704,0.409,11.0,-8.581,0.0597,0.43,0.0,0.109,0.495,113.863,292000.0,40253176.0,224827.0,11705.0,35110923.0,R&B
3817,0.709,0.835,0.0,-5.117,0.09,0.0371,8.18e-06,0.197,0.884,122.027,169000.0,4254389.0,54847.0,2713.0,4911768.0,country
3820,0.793,0.896,7.0,-3.072,0.0417,0.0136,1.08e-05,0.105,0.842,125.063,198246.0,259202903.0,1250211.0,39717.0,107759460.0,electronic
3823,0.803,0.885,0.0,-3.664,0.049,0.0732,0.312,0.0503,0.654,127.985,224531.0,13383170.0,64354.0,860.0,81480132.0,electronic
3824,0.544,0.897,3.0,-6.056,0.0471,0.241,0.0,0.13,0.647,157.17,215133.0,90698515.0,653068.0,30850.0,382100391.0,pop
3825,0.546,0.895,9.0,-7.189,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,220707.0,68173671.0,560921.0,7112.0,679805885.0,pop
3826,0.635,0.395,4.0,-13.005,0.0266,0.0929,0.0,0.27,0.334,117.096,219533.0,56550104.0,289919.0,13286.0,29233804.0,pop
3827,0.461,0.551,0.0,-13.095,0.0345,0.114,0.0,0.11,0.689,129.716,237827.0,141218.0,1874.0,132.0,19630733.0,rock
3828,0.638,0.87,2.0,-7.93,0.0362,0.0885,8.96e-06,0.116,0.892,141.674,239267.0,5057224.0,36962.0,1990.0,38361470.0,pop
3829,0.641,0.497,7.0,-12.228,0.029,0.254,2.15e-06,0.158,0.743,102.274,236733.0,1496972.0,19045.0,1075.0,25232491.0,pop
3830,0.698,0.456,0.0,-12.773,0.039,0.356,2.96e-05,0.0313,0.796,81.66,322333.0,128824.0,1998.0,269.0,13715946.0,rock
3831,0.735,0.683,7.0,-8.672,0.0433,0.363,0.0267,0.0327,0.751,91.006,219453.0,8843.0,384.0,14.0,4479366.0,pop
3832,0.554,0.833,7.0,-7.562,0.0459,0.128,1.75e-06,0.3,0.95,162.854,226373.0,6914061.0,64601.0,3135.0,38693702.0,pop
