mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation_function,param_dropout_rate,param_units_1,param_units_2,param_units_3,param_units_4,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
15.22728713353475,0.6701431834302882,2.5834103425343837,0.4628076937716111,LeakyReLU,0.3,128,256,256,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 256, 'units_3': 256, 'units_4': 512}",0.8198992609977722,0.8045397400856018,0.814628005027771,0.8130223353703817,0.0063724590726733,1
13.498979806900024,0.8485138779560913,1.995317459106445,0.187175499783523,LeakyReLU,0.5,128,256,512,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.5, 'units_1': 128, 'units_2': 256, 'units_3': 512, 'units_4': 512}",0.8224181532859802,0.8070617914199829,0.809583842754364,0.8130212624867758,0.0067239052765707,2
14.820842583974205,0.6827987341744995,2.189847548802694,0.5182081524042242,LeakyReLU,0.3,64,512,256,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 64, 'units_2': 512, 'units_3': 256, 'units_4': 512}",0.8387909531593323,0.8007566332817078,0.7982345819473267,0.8125940561294556,0.0185525963363403,3
12.303802728652954,1.1018816516897538,1.9026226202646888,0.7314690074814748,LeakyReLU,0.3,256,256,256,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 256, 'units_4': 1024}",0.8375315070152283,0.7944514751434326,0.8045397400856018,0.8121742407480875,0.0183972187534394,4
15.234663168589272,2.1223932978279074,2.585657755533854,0.1171450836425404,relu,0.3,256,128,1024,512,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 1024, 'units_4': 512}",0.8287153840065002,0.8221942186355591,0.7831021547317505,0.8113372524579366,0.020141945572267,5
13.242080211639404,0.8255182632385171,2.2503902912139893,0.5350691085045249,LeakyReLU,0.3,128,128,256,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 128, 'units_3': 256, 'units_4': 512}",0.8186398148536682,0.80580073595047,0.8083228468894958,0.8109211325645447,0.0055542058002628,6
12.53585934638977,0.3664375729956522,2.224529504776001,0.4403249372253662,relu,0.3,256,128,512,1024,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 512, 'units_4': 1024}",0.8236775994300842,0.814628005027771,0.7931904196739197,0.8104986747105917,0.0127842496591823,7
19.118301073710125,1.0320048650726827,2.178431828816732,0.3529972924408178,LeakyReLU,0.3,256,512,512,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 512, 'units_4': 1024}",0.8249370455741882,0.7957124710083008,0.810844898223877,0.8104981382687887,0.0119334019035958,8
11.833248933156332,1.4885669956115617,2.332263231277466,0.1115151937911473,LeakyReLU,0.5,256,128,512,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.5, 'units_1': 256, 'units_2': 128, 'units_3': 512, 'units_4': 1024}",0.8236775994300842,0.8007566332817078,0.80580073595047,0.8100783228874207,0.0098341576421549,9
14.985237201054892,2.4203960883602447,2.6181956132253013,0.3986997183110889,LeakyReLU,0.3,256,256,512,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 512, 'units_4': 1024}",0.8299748301506042,0.8221942186355591,0.7780579924583435,0.8100756804148356,0.0228616671227404,10
14.730210304260254,2.3451177386159374,2.404870748519897,0.950583202165464,LeakyReLU,0.5,128,512,256,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.5, 'units_1': 128, 'units_2': 512, 'units_3': 256, 'units_4': 1024}",0.8022670149803162,0.8045397400856018,0.8209331631660461,0.8092466394106547,0.0083155456010633,11
12.665907224019367,1.2288694237009612,3.6841300328572593,0.3998740169093315,LeakyReLU,0.3,128,128,512,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 128, 'units_3': 512, 'units_4': 512}",0.8337531685829163,0.810844898223877,0.7805801033973694,0.8083927234013876,0.0217769539701437,12
13.96647294362386,0.3724301299405684,2.7556631565093994,1.0923501058956662,LeakyReLU,0.3,128,128,512,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 128, 'units_3': 512, 'units_4': 1024}",0.8287153840065002,0.8032786846160889,0.7919293642044067,0.8079744776089987,0.0153805216013458,13
14.001652797063192,1.757237871627629,2.788639863332113,0.4776118471735853,LeakyReLU,0.3,256,128,512,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 512, 'units_4': 512}",0.8047859072685242,0.8121059536933899,0.80580073595047,0.8075641989707947,0.0032381189275655,14
14.334067026774088,0.1113523011892173,2.725316842397054,0.2161051588880169,LeakyReLU,0.3,128,256,1024,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 256, 'units_3': 1024, 'units_4': 512}",0.8098236918449402,0.818411111831665,0.7944514751434326,0.8075620929400126,0.0099113460156563,15
17.563536802927654,1.274373258317818,3.079998731613159,0.9597215972826988,LeakyReLU,0.3,128,128,1024,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 128, 'units_3': 1024, 'units_4': 1024}",0.7984886765480042,0.8171500563621521,0.80580073595047,0.8071464896202087,0.0076776760306177,16
16.16774646441142,0.7484246354944603,2.9612791538238525,0.2488689283958252,relu,0.3,256,256,1024,512,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 1024, 'units_4': 512}",0.8123425841331482,0.809583842754364,0.7994955778121948,0.8071406682332357,0.0055219694046099,17
11.901124636332192,0.7531182595246593,2.002107620239258,0.0854246999831515,LeakyReLU,0.5,128,256,256,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.5, 'units_1': 128, 'units_2': 256, 'units_3': 256, 'units_4': 1024}",0.8148614764213562,0.810844898223877,0.7957124710083008,0.8071396152178446,0.0082449153500162,18
9.668939034144085,0.4357072731100159,1.99792488416036,0.2498981802834292,LeakyReLU,0.3,64,128,512,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 64, 'units_2': 128, 'units_3': 512, 'units_4': 512}",0.8287153840065002,0.8032786846160889,0.7894073128700256,0.8071337938308716,0.0162773362769826,19
14.833842595418297,1.1907469326661035,1.727807839711507,0.1812037703781667,LeakyReLU,0.5,256,512,256,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.5, 'units_1': 256, 'units_2': 512, 'units_3': 256, 'units_4': 512}",0.8022670149803162,0.814628005027771,0.8032786846160889,0.8067245682080587,0.0056038144173038,20
13.702879746754965,0.901761259268078,2.91782546043396,0.571013083673201,relu,0.3,256,256,512,512,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 512, 'units_4': 512}",0.8186398148536682,0.810844898223877,0.7906683683395386,0.8067176938056946,0.0117863145852948,21
